action, category, format, fullname, guest, idnumber, lang, maxbytes, metacourse, newsitems, notifystudents, numsections,password,shortname, showgrades, showreports, sortorder, startdate, summary,timecreated, visible, link
create, Miscellaneous, topics, Sample Course 18, yes, idnumber18 , en_utf8, 32767, no, 5, yes, 5,password,course18, 1, yes, 18, 03/01/2010, This is sample course 18 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 19, yes, idnumber19 , en_utf8, 32767, no, 5, yes, 5,password,course19, 1, yes, 19, 03/01/2010, This is sample course 19 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 20, yes, idnumber20 , en_utf8, 32767, no, 5, yes, 5,password,course20, 1, yes, 20, 03/01/2010, This is sample course 20 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 21, yes, idnumber21 , en_utf8, 32767, no, 5, yes, 5,password,course21, 1, yes, 21, 03/01/2010, This is sample course 21 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 22, yes, idnumber22 , en_utf8, 32767, no, 5, yes, 5,password,course22, 1, yes, 22, 03/01/2010, This is sample course 22 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 23, yes, idnumber23 , en_utf8, 32767, no, 5, yes, 5,password,course23, 1, yes, 23, 03/01/2010, This is sample course 23 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 24, yes, idnumber24 , en_utf8, 32767, no, 5, yes, 5,password,course24, 1, yes, 24, 03/01/2010, This is sample course 24 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 25, yes, idnumber25 , en_utf8, 32767, no, 5, yes, 5,password,course25, 1, yes, 25, 03/01/2010, This is sample course 25 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 26, yes, idnumber26 , en_utf8, 32767, no, 5, yes, 5,password,course26, 1, yes, 26, 03/01/2010, This is sample course 26 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 27, yes, idnumber27 , en_utf8, 32767, no, 5, yes, 5,password,course27, 1, yes, 27, 03/01/2010, This is sample course 27 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 28, yes, idnumber28 , en_utf8, 32767, no, 5, yes, 5,password,course28, 1, yes, 28, 03/01/2010, This is sample course 28 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 29, yes, idnumber29 , en_utf8, 32767, no, 5, yes, 5,password,course29, 1, yes, 29, 03/01/2010, This is sample course 29 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 30, yes, idnumber30 , en_utf8, 32767, no, 5, yes, 5,password,course30, 1, yes, 30, 03/01/2010, This is sample course 30 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 31, yes, idnumber31 , en_utf8, 32767, no, 5, yes, 5,password,course31, 1, yes, 31, 03/01/2010, This is sample course 31 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 32, yes, idnumber32 , en_utf8, 32767, no, 5, yes, 5,password,course32, 1, yes, 32, 03/01/2010, This is sample course 32 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 33, yes, idnumber33 , en_utf8, 32767, no, 5, yes, 5,password,course33, 1, yes, 33, 03/01/2010, This is sample course 33 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 34, yes, idnumber34 , en_utf8, 32767, no, 5, yes, 5,password,course34, 1, yes, 34, 03/01/2010, This is sample course 34 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 35, yes, idnumber35 , en_utf8, 32767, no, 5, yes, 5,password,course35, 1, yes, 35, 03/01/2010, This is sample course 35 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 36, yes, idnumber36 , en_utf8, 32767, no, 5, yes, 5,password,course36, 1, yes, 36, 03/01/2010, This is sample course 36 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 37, yes, idnumber37 , en_utf8, 32767, no, 5, yes, 5,password,course37, 1, yes, 37, 03/01/2010, This is sample course 37 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 38, yes, idnumber38 , en_utf8, 32767, no, 5, yes, 5,password,course38, 1, yes, 38, 03/01/2010, This is sample course 38 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 39, yes, idnumber39 , en_utf8, 32767, no, 5, yes, 5,password,course39, 1, yes, 39, 03/01/2010, This is sample course 39 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 40, yes, idnumber40 , en_utf8, 32767, no, 5, yes, 5,password,course40, 1, yes, 40, 03/01/2010, This is sample course 40 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 41, yes, idnumber41 , en_utf8, 32767, no, 5, yes, 5,password,course41, 1, yes, 41, 03/01/2010, This is sample course 41 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 42, yes, idnumber42 , en_utf8, 32767, no, 5, yes, 5,password,course42, 1, yes, 42, 03/01/2010, This is sample course 42 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 43, yes, idnumber43 , en_utf8, 32767, no, 5, yes, 5,password,course43, 1, yes, 43, 03/01/2010, This is sample course 43 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 44, yes, idnumber44 , en_utf8, 32767, no, 5, yes, 5,password,course44, 1, yes, 44, 03/01/2010, This is sample course 44 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 45, yes, idnumber45 , en_utf8, 32767, no, 5, yes, 5,password,course45, 1, yes, 45, 03/01/2010, This is sample course 45 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 46, yes, idnumber46 , en_utf8, 32767, no, 5, yes, 5,password,course46, 1, yes, 46, 03/01/2010, This is sample course 46 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 47, yes, idnumber47 , en_utf8, 32767, no, 5, yes, 5,password,course47, 1, yes, 47, 03/01/2010, This is sample course 47 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 48, yes, idnumber48 , en_utf8, 32767, no, 5, yes, 5,password,course48, 1, yes, 48, 03/01/2010, This is sample course 48 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 49, yes, idnumber49 , en_utf8, 32767, no, 5, yes, 5,password,course49, 1, yes, 49, 03/01/2010, This is sample course 49 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 50, yes, idnumber50 , en_utf8, 32767, no, 5, yes, 5,password,course50, 1, yes, 50, 03/01/2010, This is sample course 50 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 51, yes, idnumber51 , en_utf8, 32767, no, 5, yes, 5,password,course51, 1, yes, 51, 03/01/2010, This is sample course 51 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 52, yes, idnumber52 , en_utf8, 32767, no, 5, yes, 5,password,course52, 1, yes, 52, 03/01/2010, This is sample course 52 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 53, yes, idnumber53 , en_utf8, 32767, no, 5, yes, 5,password,course53, 1, yes, 53, 03/01/2010, This is sample course 53 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 54, yes, idnumber54 , en_utf8, 32767, no, 5, yes, 5,password,course54, 1, yes, 54, 03/01/2010, This is sample course 54 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 55, yes, idnumber55 , en_utf8, 32767, no, 5, yes, 5,password,course55, 1, yes, 55, 03/01/2010, This is sample course 55 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 56, yes, idnumber56 , en_utf8, 32767, no, 5, yes, 5,password,course56, 1, yes, 56, 03/01/2010, This is sample course 56 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 57, yes, idnumber57 , en_utf8, 32767, no, 5, yes, 5,password,course57, 1, yes, 57, 03/01/2010, This is sample course 57 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 58, yes, idnumber58 , en_utf8, 32767, no, 5, yes, 5,password,course58, 1, yes, 58, 03/01/2010, This is sample course 58 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 59, yes, idnumber59 , en_utf8, 32767, no, 5, yes, 5,password,course59, 1, yes, 59, 03/01/2010, This is sample course 59 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 60, yes, idnumber60 , en_utf8, 32767, no, 5, yes, 5,password,course60, 1, yes, 60, 03/01/2010, This is sample course 60 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 61, yes, idnumber61 , en_utf8, 32767, no, 5, yes, 5,password,course61, 1, yes, 61, 03/01/2010, This is sample course 61 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 62, yes, idnumber62 , en_utf8, 32767, no, 5, yes, 5,password,course62, 1, yes, 62, 03/01/2010, This is sample course 62 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 63, yes, idnumber63 , en_utf8, 32767, no, 5, yes, 5,password,course63, 1, yes, 63, 03/01/2010, This is sample course 63 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 64, yes, idnumber64 , en_utf8, 32767, no, 5, yes, 5,password,course64, 1, yes, 64, 03/01/2010, This is sample course 64 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 65, yes, idnumber65 , en_utf8, 32767, no, 5, yes, 5,password,course65, 1, yes, 65, 03/01/2010, This is sample course 65 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 66, yes, idnumber66 , en_utf8, 32767, no, 5, yes, 5,password,course66, 1, yes, 66, 03/01/2010, This is sample course 66 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 67, yes, idnumber67 , en_utf8, 32767, no, 5, yes, 5,password,course67, 1, yes, 67, 03/01/2010, This is sample course 67 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 68, yes, idnumber68 , en_utf8, 32767, no, 5, yes, 5,password,course68, 1, yes, 68, 03/01/2010, This is sample course 68 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 69, yes, idnumber69 , en_utf8, 32767, no, 5, yes, 5,password,course69, 1, yes, 69, 03/01/2010, This is sample course 69 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 70, yes, idnumber70 , en_utf8, 32767, no, 5, yes, 5,password,course70, 1, yes, 70, 03/01/2010, This is sample course 70 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 71, yes, idnumber71 , en_utf8, 32767, no, 5, yes, 5,password,course71, 1, yes, 71, 03/01/2010, This is sample course 71 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 72, yes, idnumber72 , en_utf8, 32767, no, 5, yes, 5,password,course72, 1, yes, 72, 03/01/2010, This is sample course 72 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 73, yes, idnumber73 , en_utf8, 32767, no, 5, yes, 5,password,course73, 1, yes, 73, 03/01/2010, This is sample course 73 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 74, yes, idnumber74 , en_utf8, 32767, no, 5, yes, 5,password,course74, 1, yes, 74, 03/01/2010, This is sample course 74 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 75, yes, idnumber75 , en_utf8, 32767, no, 5, yes, 5,password,course75, 1, yes, 75, 03/01/2010, This is sample course 75 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 76, yes, idnumber76 , en_utf8, 32767, no, 5, yes, 5,password,course76, 1, yes, 76, 03/01/2010, This is sample course 76 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 77, yes, idnumber77 , en_utf8, 32767, no, 5, yes, 5,password,course77, 1, yes, 77, 03/01/2010, This is sample course 77 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 78, yes, idnumber78 , en_utf8, 32767, no, 5, yes, 5,password,course78, 1, yes, 78, 03/01/2010, This is sample course 78 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 79, yes, idnumber79 , en_utf8, 32767, no, 5, yes, 5,password,course79, 1, yes, 79, 03/01/2010, This is sample course 79 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 80, yes, idnumber80 , en_utf8, 32767, no, 5, yes, 5,password,course80, 1, yes, 80, 03/01/2010, This is sample course 80 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 81, yes, idnumber81 , en_utf8, 32767, no, 5, yes, 5,password,course81, 1, yes, 81, 03/01/2010, This is sample course 81 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 82, yes, idnumber82 , en_utf8, 32767, no, 5, yes, 5,password,course82, 1, yes, 82, 03/01/2010, This is sample course 82 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 83, yes, idnumber83 , en_utf8, 32767, no, 5, yes, 5,password,course83, 1, yes, 83, 03/01/2010, This is sample course 83 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 84, yes, idnumber84 , en_utf8, 32767, no, 5, yes, 5,password,course84, 1, yes, 84, 03/01/2010, This is sample course 84 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 85, yes, idnumber85 , en_utf8, 32767, no, 5, yes, 5,password,course85, 1, yes, 85, 03/01/2010, This is sample course 85 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 86, yes, idnumber86 , en_utf8, 32767, no, 5, yes, 5,password,course86, 1, yes, 86, 03/01/2010, This is sample course 86 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 87, yes, idnumber87 , en_utf8, 32767, no, 5, yes, 5,password,course87, 1, yes, 87, 03/01/2010, This is sample course 87 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 88, yes, idnumber88 , en_utf8, 32767, no, 5, yes, 5,password,course88, 1, yes, 88, 03/01/2010, This is sample course 88 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 89, yes, idnumber89 , en_utf8, 32767, no, 5, yes, 5,password,course89, 1, yes, 89, 03/01/2010, This is sample course 89 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 90, yes, idnumber90 , en_utf8, 32767, no, 5, yes, 5,password,course90, 1, yes, 90, 03/01/2010, This is sample course 90 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 91, yes, idnumber91 , en_utf8, 32767, no, 5, yes, 5,password,course91, 1, yes, 91, 03/01/2010, This is sample course 91 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 92, yes, idnumber92 , en_utf8, 32767, no, 5, yes, 5,password,course92, 1, yes, 92, 03/01/2010, This is sample course 92 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 93, yes, idnumber93 , en_utf8, 32767, no, 5, yes, 5,password,course93, 1, yes, 93, 03/01/2010, This is sample course 93 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 94, yes, idnumber94 , en_utf8, 32767, no, 5, yes, 5,password,course94, 1, yes, 94, 03/01/2010, This is sample course 94 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 95, yes, idnumber95 , en_utf8, 32767, no, 5, yes, 5,password,course95, 1, yes, 95, 03/01/2010, This is sample course 95 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 96, yes, idnumber96 , en_utf8, 32767, no, 5, yes, 5,password,course96, 1, yes, 96, 03/01/2010, This is sample course 96 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 97, yes, idnumber97 , en_utf8, 32767, no, 5, yes, 5,password,course97, 1, yes, 97, 03/01/2010, This is sample course 97 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 98, yes, idnumber98 , en_utf8, 32767, no, 5, yes, 5,password,course98, 1, yes, 98, 03/01/2010, This is sample course 98 ,06/23/2010, yes,
create, Miscellaneous, topics, Sample Course 99, yes, idnumber99 , en_utf8, 32767, no, 5, yes, 5,password,course99, 1, yes, 99, 03/01/2010, This is sample course 99 ,06/23/2010, yes,
